src/bieniek1.mp4angle:  nan
angle:  nan
angle:  nan
angle:  nan
angle:  nan
angle:  1.7298836218133007
angle:  nan
angle:  nan
angle:  1.7298836218133007
angle:  5.715802318275695
angle:  nan
angle:  nan
angle:  1.7298836218133007
angle:  5.715802318275695
angle:  2.4300276719150107
angle:  nan
angle:  nan
angle:  1.7298836218133007
angle:  5.715802318275695
angle:  2.4300276719150107
angle:  0.08339991128116257
angle:  nan
angle:  nan
angle:  1.7298836218133007
angle:  5.715802318275695
angle:  2.4300276719150107
angle:  0.08339991128116257
angle:  nan
angle:  nan
angle:  nan
angle:  1.7298836218133007
angle:  5.715802318275695
angle:  2.4300276719150107
angle:  0.08339991128116257
angle:  nan
angle:  nan
angle:  nan
angle:  nan
angle:  1.7298836218133007
angle:  5.715802318275695
angle:  2.4300276719150107
angle:  0.08339991128116257
angle:  nan
angle:  nan
angle:  0.6986943829831717
angle:  nan
angle:  nan
angle:  1.7298836218133007
angle:  5.715802318275695
angle:  2.4300276719150107
angle:  0.08339991128116257
angle:  nan
angle:  nan
angle:  0.6986943829831717
angle:  2.9356734464213474
angle:  nan
angle:  nan
angle:  1.7298836218133007
angle:  5.715802318275695
angle:  2.4300276719150107
angle:  0.08339991128116257
angle:  nan
angle:  nan
angle:  0.6986943829831717
angle:  2.9356734464213474
angle:  10.750966993188039
angle:  nan
angle:  nan
angle:  1.7298836218133007
angle:  5.715802318275695
angle:  2.4300276719150107
angle:  0.08339991128116257
angle:  nan
angle:  nan
angle:  0.6986943829831717
angle:  2.9356734464213474
angle:  10.750966993188039
angle:  4.635463426902617
angle:  nan
angle:  nan
angle:  1.7298836218133007
angle:  5.715802318275695
angle:  2.4300276719150107
angle:  0.08339991128116257
angle:  nan
angle:  nan
angle:  0.6986943829831717
angle:  2.9356734464213474
angle:  10.750966993188039
angle:  4.635463426902617
angle:  nan
angle:  nan
angle:  nan
angle:  1.7298836218133007
angle:  5.715802318275695
angle:  2.4300276719150107
angle:  0.08339991128116257
angle:  nan
angle:  nan
angle:  0.6986943829831717
angle:  2.9356734464213474
angle:  10.750966993188039
angle:  4.635463426902617
angle:  nan
angle:  nan
angle:  nan
angle:  nan
angle:  1.7298836218133007
angle:  5.715802318275695
angle:  2.4300276719150107
angle:  0.08339991128116257
angle:  nan
angle:  nan
angle:  0.6986943829831717
angle:  2.9356734464213474
angle:  10.750966993188039
angle:  4.635463426902617
angle:  nan
angle:  nan
angle:  3.1798301198641643
angle:  nan
angle:  nan
angle:  1.7298836218133007
angle:  5.715802318275695
angle:  2.4300276719150107
angle:  0.08339991128116257
angle:  nan
angle:  nan
angle:  0.6986943829831717
angle:  2.9356734464213474
angle:  10.750966993188039
angle:  4.635463426902617
angle:  nan
angle:  nan
angle:  3.1798301198641643
angle:  2.1210963966614473
angle:  nan
angle:  nan
angle:  1.7298836218133007
angle:  5.715802318275695
angle:  2.4300276719150107
angle:  0.08339991128116257
angle:  nan
angle:  nan
angle:  0.6986943829831717
angle:  2.9356734464213474
angle:  10.750966993188039
angle:  4.635463426902617
angle:  nan
angle:  nan
angle:  3.1798301198641643
angle:  2.1210963966614473
angle:  16.313852426260542
angle:  nan
angle:  nan
angle:  1.7298836218133007
angle:  5.715802318275695
angle:  2.4300276719150107
angle:  0.08339991128116257
angle:  nan
angle:  nan
angle:  0.6986943829831717
angle:  2.9356734464213474
angle:  10.750966993188039
angle:  4.635463426902617
angle:  nan
angle:  nan
angle:  3.1798301198641643
angle:  2.1210963966614473
angle:  16.313852426260542
angle:  8.130102354155916
angle:  nan
angle:  nan
angle:  1.7298836218133007
angle:  5.715802318275695
angle:  2.4300276719150107
angle:  0.08339991128116257
angle:  nan
angle:  nan
angle:  0.6986943829831717
angle:  2.9356734464213474
angle:  10.750966993188039
angle:  4.635463426902617
angle:  nan
angle:  nan
angle:  3.1798301198641643
angle:  2.1210963966614473
angle:  16.313852426260542
angle:  8.130102354155916
angle:  nan
angle:  nan
angle:  nan
angle:  1.7298836218133007
angle:  5.715802318275695
angle:  2.4300276719150107
angle:  0.08339991128116257
angle:  nan
angle:  nan
angle:  0.6986943829831717
angle:  2.9356734464213474
angle:  10.750966993188039
angle:  4.635463426902617
angle:  nan
angle:  nan
angle:  3.1798301198641643
angle:  2.1210963966614473
angle:  16.313852426260542
angle:  8.130102354155916
angle:  nan
angle:  nan
angle:  nan
angle:  nan
angle:  1.7298836218133007
angle:  5.715802318275695
angle:  2.4300276719150107
angle:  0.08339991128116257
angle:  nan
angle:  nan
angle:  0.6986943829831717
angle:  2.9356734464213474
angle:  10.750966993188039
angle:  4.635463426902617
angle:  nan
angle:  nan
angle:  3.1798301198641643
angle:  2.1210963966614473
angle:  16.313852426260542
angle:  8.130102354155916
angle:  nan
angle:  nan
angle:  45.00000000000001
angle:  nan
angle:  nan
angle:  1.7298836218133007
angle:  5.715802318275695
angle:  2.4300276719150107
angle:  0.08339991128116257
angle:  nan
angle:  nan
angle:  0.6986943829831717
angle:  2.9356734464213474
angle:  10.750966993188039
angle:  4.635463426902617
angle:  nan
angle:  nan
angle:  3.1798301198641643
angle:  2.1210963966614473
angle:  16.313852426260542
angle:  8.130102354155916
angle:  nan
angle:  nan
angle:  45.00000000000001
angle:  15.255118703057764
angle:  nan
angle:  nan
angle:  1.7298836218133007
angle:  5.715802318275695
angle:  2.4300276719150107
angle:  0.08339991128116257
angle:  nan
angle:  nan
angle:  0.6986943829831717
angle:  2.9356734464213474
angle:  10.750966993188039
angle:  4.635463426902617
angle:  nan
angle:  nan
angle:  3.1798301198641643
angle:  2.1210963966614473
angle:  16.313852426260542
angle:  8.130102354155916
angle:  nan
angle:  nan
angle:  45.00000000000001
angle:  15.255118703057764
angle:  29.74488129694221
angle:  nan
angle:  nan
angle:  1.7298836218133007
angle:  5.715802318275695
angle:  2.4300276719150107
angle:  0.08339991128116257
angle:  nan
angle:  nan
angle:  0.6986943829831717
angle:  2.9356734464213474
angle:  10.750966993188039
angle:  4.635463426902617
angle:  nan
angle:  nan
angle:  3.1798301198641643
angle:  2.1210963966614473
angle:  16.313852426260542
angle:  8.130102354155916
angle:  nan
angle:  nan
angle:  45.00000000000001
angle:  15.255118703057764
angle:  29.74488129694221
angle:  10.61965527615514
angle:  nan
angle:  nan
angle:  1.7298836218133007
angle:  5.715802318275695
angle:  2.4300276719150107
angle:  0.08339991128116257
angle:  nan
angle:  nan
angle:  0.6986943829831717
angle:  2.9356734464213474
angle:  10.750966993188039
angle:  4.635463426902617
angle:  nan
angle:  nan
angle:  3.1798301198641643
angle:  2.1210963966614473
angle:  16.313852426260542
angle:  8.130102354155916
angle:  nan
angle:  nan
angle:  45.00000000000001
angle:  15.255118703057764
angle:  29.74488129694221
angle:  10.61965527615514
angle:  nan
angle:  nan
angle:  nan
angle:  nan
angle:  1.7298836218133007
angle:  5.715802318275695
angle:  2.4300276719150107
angle:  0.08339991128116257
angle:  nan
angle:  nan
angle:  0.6986943829831717
