src/onodera2.mp4angle:  nan
angle:  180.0
angle:  180.0
angle:  153.434948822922
angle:  108.43494882292202
angle:  135.0
angle:  63.43494882292201
angle:  36.86989764584404
angle:  18.434948822922017
angle:  nan
angle:  nan
angle:  45.00000000000001
angle:  nan
angle:  3.697049303573614
angle:  10.5239116420473
angle:  7.628149668580714
angle:  131.18592516570965
angle:  131.42366562500263
angle:  nan
angle:  nan
angle:  4.864514437760529
angle:  102.9946167919165
angle:  118.30075576600639
angle:  132.33699923393286
angle:  126.6561084159669
angle:  18.22115959304491
angle:  nan
angle:  nan
angle:  8.325650330426761
angle:  7.696051722016556
angle:  1.7899106082464833
angle:  5.906141113770497
angle:  nan
angle:  nan
angle:  108.43494882292202
angle:  142.76516601842533
angle:  28.926425835253607
angle:  96.91122711902469
angle:  113.49856567595211
angle:  117.89727103094764
angle:  117.89727103094764
angle:  nan
angle:  nan
angle:  13.73626830562258
angle:  3.36646066342994
angle:  8.130102354156051
angle:  161.565051177078
angle:  146.30993247402023
angle:  123.6900675259798
angle:  180.0
angle:  180.0
angle:  153.434948822922
angle:  108.43494882292202
angle:  135.0
angle:  63.43494882292201
angle:  36.86989764584404
angle:  18.434948822922017
angle:  nan
angle:  nan
angle:  45.00000000000001
angle:  90.0
angle:  nan
angle:  3.697049303573614
angle:  10.5239116420473
angle:  7.628149668580714
angle:  131.18592516570965
angle:  131.42366562500263
angle:  nan
angle:  nan
angle:  4.864514437760529
angle:  102.9946167919165
angle:  118.30075576600639
angle:  132.33699923393286
angle:  126.6561084159669
angle:  18.22115959304491
angle:  nan
angle:  nan
angle:  8.325650330426761
angle:  7.696051722016556
angle:  1.7899106082464833
angle:  5.906141113770497
angle:  nan
angle:  nan
angle:  108.43494882292202
angle:  142.76516601842533
angle:  28.926425835253607
angle:  96.91122711902469
angle:  113.49856567595211
angle:  117.89727103094764
angle:  117.89727103094764
angle:  nan
angle:  nan
angle:  13.73626830562258
angle:  3.36646066342994
angle:  8.130102354156051
angle:  161.565051177078
angle:  146.30993247402023
angle:  123.6900675259798
angle:  180.0
angle:  180.0
angle:  153.434948822922
angle:  108.43494882292202
angle:  135.0
angle:  63.43494882292201
angle:  36.86989764584404
angle:  18.434948822922017
angle:  nan
angle:  nan
angle:  45.00000000000001
angle:  90.0
angle:  56.309932474020215
angle:  nan
angle:  3.697049303573614
angle:  10.5239116420473
angle:  7.628149668580714
angle:  131.18592516570965
angle:  131.42366562500263
angle:  nan
angle:  nan
angle:  4.864514437760529
angle:  102.9946167919165
angle:  118.30075576600639
angle:  132.33699923393286
angle:  126.6561084159669
angle:  18.22115959304491
angle:  nan
angle:  nan
angle:  8.325650330426761
angle:  7.696051722016556
angle:  1.7899106082464833
angle:  5.906141113770497
angle:  nan
angle:  nan
angle:  108.43494882292202
angle:  142.76516601842533
angle:  28.926425835253607
angle:  96.91122711902469
angle:  113.49856567595211
angle:  117.89727103094764
angle:  117.89727103094764
angle:  nan
angle:  nan
angle:  13.73626830562258
angle:  3.36646066342994
angle:  8.130102354156051
angle:  161.565051177078
angle:  146.30993247402023
angle:  123.6900675259798
angle:  180.0
angle:  180.0
angle:  153.434948822922
angle:  108.43494882292202
angle:  135.0
angle:  63.43494882292201
angle:  36.86989764584404
angle:  18.434948822922017
angle:  nan
angle:  nan
angle:  45.00000000000001
angle:  90.0
angle:  56.309932474020215
angle:  11.309932474020261
angle:  nan
angle:  3.697049303573614
angle:  10.5239116420473
angle:  7.628149668580714
angle:  131.18592516570965
angle:  131.42366562500263
angle:  nan
angle:  nan
angle:  4.864514437760529
angle:  102.9946167919165
angle:  118.30075576600639
angle:  132.33699923393286
angle:  126.6561084159669
angle:  18.22115959304491
angle:  nan
angle:  nan
angle:  8.325650330426761
angle:  7.696051722016556
angle:  1.7899106082464833
angle:  5.906141113770497
angle:  nan
angle:  nan
angle:  108.43494882292202
angle:  142.76516601842533
angle:  28.926425835253607
angle:  96.91122711902469
angle:  113.49856567595211
angle:  117.89727103094764
angle:  117.89727103094764
angle:  nan
angle:  nan
angle:  13.73626830562258
angle:  3.36646066342994
angle:  8.130102354156051
angle:  161.565051177078
angle:  146.30993247402023
angle:  123.6900675259798
angle:  180.0
angle:  180.0
angle:  153.434948822922
angle:  108.43494882292202
angle:  135.0
angle:  63.43494882292201
angle:  36.86989764584404
angle:  18.434948822922017
angle:  nan
angle:  nan
angle:  45.00000000000001
angle:  90.0
angle:  56.309932474020215
angle:  11.309932474020261
angle:  nan
angle:  nan
angle:  nan
angle:  3.697049303573614
angle:  10.5239116420473
angle:  7.628149668580714
angle:  131.18592516570965
angle:  131.42366562500263
angle:  nan
angle:  nan
angle:  4.864514437760529
angle:  102.9946167919165
angle:  118.30075576600639
angle:  132.33699923393286
angle:  126.6561084159669
angle:  18.22115959304491
angle:  nan
angle:  nan
angle:  8.325650330426761
angle:  7.696051722016556
angle:  1.7899106082464833
angle:  5.906141113770497
angle:  nan
angle:  nan
angle:  108.43494882292202
angle:  142.76516601842533
angle:  28.926425835253607
angle:  96.91122711902469
angle:  113.49856567595211
angle:  117.89727103094764
angle:  117.89727103094764
angle:  nan
angle:  nan
angle:  13.73626830562258
angle:  3.36646066342994
angle:  8.130102354156051
angle:  161.565051177078
angle:  146.30993247402023
angle:  123.6900675259798
angle:  180.0
angle:  180.0
angle:  153.434948822922
angle:  108.43494882292202
angle:  135.0
angle:  63.43494882292201
angle:  36.86989764584404
angle:  18.434948822922017
angle:  nan
angle:  nan
angle:  45.00000000000001
angle:  90.0
angle:  56.309932474020215
angle:  11.309932474020261
angle:  nan
angle:  nan
angle:  18.434948822922017
angle:  nan
angle:  3.697049303573614
angle:  10.5239116420473
angle:  7.628149668580714
angle:  131.18592516570965
angle:  131.42366562500263
angle:  nan
angle:  nan
angle:  4.864514437760529
angle:  102.9946167919165
angle:  118.30075576600639
angle:  132.33699923393286
angle:  126.6561084159669
angle:  18.22115959304491
angle:  nan
angle:  nan
angle:  8.325650330426761
angle:  7.696051722016556
angle:  1.7899106082464833
angle:  5.906141113770497
angle:  nan
angle:  nan
angle:  108.43494882292202
angle:  142.76516601842533
angle:  28.926425835253607
angle:  96.91122711902469
angle:  113.49856567595211
angle:  117.89727103094764
angle:  117.89727103094764
angle:  nan
angle:  nan
angle:  13.73626830562258
angle:  3.36646066342994
angle:  8.130102354156051
angle:  161.565051177078
angle:  146.30993247402023
angle:  123.6900675259798
angle:  180.0
angle:  180.0
angle:  153.434948822922
angle:  108.43494882292202
angle:  135.0
angle:  63.43494882292201
angle:  36.86989764584404
angle:  18.434948822922017
angle:  nan
angle:  nan
angle:  45.00000000000001
angle:  90.0
angle:  56.309932474020215
angle:  11.309932474020261
angle:  nan
angle:  nan
angle:  18.434948822922017
angle:  135.0
angle:  nan
angle:  3.697049303573614
angle:  10.5239116420473
angle:  7.628149668580714
angle:  131.18592516570965
angle:  131.42366562500263
angle:  nan
angle:  nan
angle:  4.864514437760529
angle:  102.9946167919165
angle:  118.30075576600639
angle:  132.33699923393286
angle:  126.6561084159669
angle:  18.22115959304491
angle:  nan
angle:  nan
angle:  8.325650330426761
angle:  7.696051722016556
angle:  1.7899106082464833
angle:  5.906141113770497
angle:  nan
angle:  nan
angle:  108.43494882292202
angle:  142.76516601842533
angle:  28.926425835253607
angle:  96.91122711902469
angle:  113.49856567595211
angle:  117.89727103094764
angle:  117.89727103094764
angle:  nan
angle:  nan
angle:  13.73626830562258
angle:  3.36646066342994
angle:  8.130102354156051
angle:  161.565051177078
angle:  146.30993247402023
angle:  123.6900675259798
angle:  180.0
